team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison
STL,4.746987418427914,0.5240115316225561,-110.08912325309348,STL,-222,St. Louis Cardinals,Colorado Rockies,Betfair,-111.91087674690652
COL,4.5242424897761975,0.4759884683774439,110.08912325309348,COL,225,St. Louis Cardinals,Colorado Rockies,Betfair,114.91087674690652
TEX,4.580760894891188,0.6203302489001753,-163.386797895594,TEX,-182,Texas Rangers,Oakland Athletics,Betfair,-18.613202104406014
OAK,3.583679335945377,0.3796697510998246,163.386797895594,OAK,188,Texas Rangers,Oakland Athletics,Betfair,24.613202104406014
CHW,4.275535924230599,0.4422729784049392,126.10470203413904,CHW,122,Chicago White Sox,Houston Astros,Betfair,-4.104702034139038
HOU,4.801270782059761,0.5577270215950607,-126.104702034139,HOU,-119,Chicago White Sox,Houston Astros,Betfair,7.104702034138995
MIL,3.8885039969338897,0.3932695363402534,154.27853103140149,MIL,-113,Milwaukee Brewers,Los Angeles Dodgers,LowVig.ag,-67.27853103140149
LAD,4.82986839542243,0.6067304636597467,-154.27853103140154,LAD,116,Milwaukee Brewers,Los Angeles Dodgers,Betfair,70.27853103140154
BAL,4.144655145439158,0.4528160913480664,120.8402084437696,BAL,-147,Baltimore Orioles,Chicago Cubs,Betfair,-67.8402084437696
CHC,4.556109297752024,0.5471839086519336,-120.84020844376955,CHC,150,Baltimore Orioles,Chicago Cubs,Betfair,70.84020844376955
SFG,4.244403706509453,0.5115621332327432,-104.73433122999558,SFG,-132,San Francisco Giants,Arizona Diamondbacks,Betfair,-27.265668770004424
ARI,4.1473639959879405,0.4884378667672567,104.73433122999565,ARI,136,San Francisco Giants,Arizona Diamondbacks,Betfair,31.265668770004353
PIT,3.703040194283942,0.4053964947239504,146.67208844046306,PIT,144,Pittsburgh Pirates,Boston Red Sox,Betfair,-2.6720884404630567
BOS,4.484687271795172,0.5946035052760495,-146.672088440463,BOS,-141,Pittsburgh Pirates,Boston Red Sox,Betfair,5.672088440463
NYY,4.95370644397387,0.5081242806575579,-103.30338755831195,NYY,-143,New York Yankees,Toronto Blue Jays,Betfair,-39.696612441688046
TOR,4.873859271346424,0.4918757193424421,103.30338755831195,TOR,150,New York Yankees,Toronto Blue Jays,Betfair,46.696612441688046
TBR,4.231142865875673,0.4998243005648529,100.07030447897334,TBR,-198,Tampa Bay Rays,Kansas City Royals,FanDuel,-98.07030447897334
KCR,4.232629946023844,0.5001756994351471,-100.07030447897333,KCR,185,Tampa Bay Rays,Kansas City Royals,Intertops,85.07030447897333
ATL,2.6836305769895024,0.2583101573281415,287.1315051423475,ATL,120,Atlanta Braves,New York Mets,Betfair,-167.13150514234752
NYM,4.5473999774715725,0.7416898426718584,-287.1315051423474,NYM,-116,Atlanta Braves,New York Mets,Betfair,171.1315051423474
SDP,4.371377857719827,0.5529791772779611,-123.703225704501,SDP,-333,San Diego Padres,Washington Nationals,Betfair,-209.296774295499
WSN,3.930319316930384,0.4470208227220388,123.703225704501,WSN,360,San Diego Padres,Washington Nationals,Betfair,236.296774295499
